,tweet_id,retweets,favorites
114,869772420881756160,9247,39889
115,869702957897576449,5748,26426
116,869596645499047938,2845,14961
117,869227993411051520,3439,19122
118,868880397819494401,13169,61255
119,868639477480148993,1891,0
120,868622495443632128,4834,24990
121,868552278524837888,1891,9456
122,867900495410671616,3831,22737
123,867774946302451713,6719,31878
124,867421006826221569,2286,15111
125,867072653475098625,110,0
126,867051520902168576,7245,30274
127,866720684873056260,4401,18813
128,866686824827068416,3194,18084
129,866450705531457537,32372,114932
130,866334964761202691,13093,49207
131,866094527597207552,7701,0
132,865718153858494464,5178,24175
133,865359393868664832,4603,24918
134,865006731092295680,7099,26398
135,864873206498414592,8000,30406
136,864279568663928832,2777,13755
137,864197398364647424,8154,28236
138,863907417377173506,3823,19438
139,863553081350529029,3870,14405
140,863471782782697472,2243,0
141,863432100342583297,4844,22442
142,863427515083354112,89,2083
143,863079547188785154,1027,8299
144,863062471531167744,2243,7975
145,862831371563274240,4770,18131
146,862722525377298433,3282,16178
147,862457590147678208,4560,19289
148,862096992088072192,21446,70146
149,861383897657036800,9929,34129
150,861288531465048066,3836,16244
151,861005113778896900,3543,15801
152,860981674716409858,1992,0
153,860924035999428608,741,0
154,860563773140209665,1992,7105
155,860524505164394496,4937,22422
156,860276583193509888,3271,17447
157,860184849394610176,5442,15810
158,860177593139703809,28792,0
159,859924526012018688,3833,18618
160,859851578198683649,3281,14673
161,859607811541651456,1451,17722
162,859196978902773760,28143,85351
163,859074603037188101,12735,32133
164,858860390427611136,7584,0
165,858843525470990336,3248,14861
166,858471635011153920,4547,20506
167,858107933456039936,2714,15016
168,857989990357356544,2431,15329
169,857746408056729600,9982,32667
170,857393404942143489,1546,5621
171,857263160327368704,4257,19159
172,857214891891077121,17,214
173,857062103051644929,157,0
174,857029823797047296,3744,18010
175,856543823941562368,2717,15642
176,856526610513747968,1773,11360
177,856330835276025856,631,0
178,856288084350160898,15,491
179,856282028240666624,5937,26558
180,855862651834028034,24,323
181,855860136149123072,927,4696
182,855857698524602368,1993,11377
183,855851453814013952,17103,43946
184,855818117272018944,5138,25588
185,855459453768019968,7790,28586
186,855245323840757760,5638,0
187,855138241867124737,43,0
188,854732716440526848,5758,21863
189,854482394044301312,6493,28124
190,854365224396361728,4458,18181
191,854120357044912130,7093,30808
192,854010172552949760,3000,15656
193,853760880890318849,5478,27562
194,853639147608842240,9541,33433
195,853299958564483072,3397,14955
196,852936405516943360,1894,0
197,852912242202992640,1730,8716
198,852672615818899456,2064,14422
199,852553447878664193,3321,15771
200,852311364735569921,9513,32071
201,852226086759018497,6564,19376
202,852189679701164033,1527,11114
203,851861385021730816,19,0
204,851591660324737024,3326,15778
205,851464819735769094,6782,23550
206,851224888060895234,5518,20093
207,850753642995093505,8746,29884
208,850380195714523136,2501,12738
209,850333567704068097,315,3361
210,850145622816686080,3655,15888
211,850019790995546112,4683,19845
212,849776966551130114,7301,29561
213,849668094696017920,4768,0
214,849412302885593088,3036,15461
